id,cppcheck_hit,flawfinder_hit,status
211126,1,1,both
211136,1,1,both
211179,1,1,both
211181,1,1,both
211471,1,1,both
211473,1,1,both
211506,1,1,both
211567,1,0,cpp_only
211695,1,0,cpp_only
211699,1,1,both
211700,1,1,both
211773,1,1,both
211785,1,1,both
211842,1,0,cpp_only
211845,1,1,both
211877,1,1,both
211915,1,0,cpp_only
212083,1,1,both
212144,1,0,cpp_only
212152,1,0,cpp_only
212339,1,0,cpp_only
212407,1,0,cpp_only
212414,1,1,both
212436,1,0,cpp_only
212829,1,1,both
212834,1,1,both
212857,1,0,cpp_only
212871,0,1,flawfinder_only
212927,1,0,cpp_only
212934,1,1,both
212955,1,0,cpp_only
213037,1,0,cpp_only
213075,1,0,cpp_only
213370,1,0,cpp_only
213515,1,0,cpp_only
213528,1,0,cpp_only
213998,1,0,cpp_only
214003,1,0,cpp_only
214124,1,0,cpp_only
214160,1,1,both
214276,1,1,both
214335,0,0,none
214336,1,0,cpp_only
214339,1,0,cpp_only
214358,1,0,cpp_only
214364,1,1,both
214909,1,0,cpp_only
214948,1,0,cpp_only
214997,1,1,both
215038,1,1,both
215073,1,0,cpp_only
215142,1,0,cpp_only
215262,1,0,cpp_only
215264,1,0,cpp_only
217569,1,1,both
218785,1,0,cpp_only
218852,1,0,cpp_only
218933,1,1,both
219032,0,0,none
219912,1,0,cpp_only
219931,0,1,flawfinder_only
219947,1,1,both
220021,1,0,cpp_only
220100,1,0,cpp_only
220168,1,0,cpp_only
220201,1,0,cpp_only
220442,1,0,cpp_only
220449,0,0,none
220463,1,0,cpp_only
220804,1,0,cpp_only
220841,1,0,cpp_only
221079,1,0,cpp_only
221123,1,0,cpp_only
221160,1,0,cpp_only
221428,0,0,none
221631,1,0,cpp_only
221651,0,0,none
221678,0,0,none
222666,1,1,both
222739,1,1,both
222906,1,0,cpp_only
223089,1,1,both
223368,1,0,cpp_only
223728,0,0,none
224153,1,0,cpp_only
224181,1,0,cpp_only
224192,1,0,cpp_only
224208,1,0,cpp_only
224277,1,1,both
224281,1,1,both
224472,1,1,both
224570,1,0,cpp_only
